publishedAt,authorDisplayName,textDisplay,likeCount
2023-05-07T11:35:20Z,pain akatsuki,"Sebaiknya prabowo dan anis tidak usah capek capek buang buang duit waktu dan tenaga ikut capres, percuma karena pemilu mendatang akan seperti pemilu yg lalu, kecurangan terjadi dmn mana, terutama di daerah terpencil, PDIP, Megawati dan polis sebagai loyalis dan tunduk sepenuhnya kpd perintah mega akam berusaha dgn cara apapun untuk menang. Yg pasti polis tidak mau klu prabowo jadi presiden itu jelas",0
2023-05-07T11:17:15Z,Baby Iog,Prabowo sih.percya banget sama beliau,0
2023-05-07T10:25:56Z,Tele Mbeseng,NTT merasakan pembangunan Pak Jokowi...auto pilih Ganjar utk meneruskannya,0
2023-05-07T10:13:52Z,Sean martinez,"Makjoss Ganjar ,pribumi asli ❤️",0
2023-05-07T10:02:18Z,75 tahun,"2024 milik Prabowo. Pilihan paling aman dengan resiko paling minim. Anies cuma jadi bahan uji coba Nasdem. Tujuan utamanya mengerek perolehan suara partai. Ganjar, sudahlah. PDIP terlalu offside karena ulah ugal-ugalan Jokowi. Bakal jatuh perolehan suara Ganjar.",0
2023-05-07T09:54:15Z,Vivo Y21,"hrus berani mengambil kebijakan baru dan nuansa yg tdk melupakan  kebijakan pak jokowi, saya lebih percaya dgn pak prabowo sbg presiden selanjutnya..",0
2023-05-07T09:52:31Z,Koi Iwak,"Prabowo saatnya diberi kesempatan  memimpin negeri ini,, prabowo orang jujur dan iklas",0
2023-05-07T09:51:02Z,Anjing Pisan,Ketiga tapi selalu di takuti oleh gerombolan oligarki,0
2023-05-07T09:46:03Z,MadSu,Cukup Timnas dan Sungai saja yang di Naturalisasi kl Presiden tetap yg bukan Naturalisasi,0
2023-05-07T09:35:09Z,Aji Pangestu,Pa Prabowo Subianto jgn egois jadi wapres Ganjar saja kalou benar tujuanya ingin memakmurkan rakyat Indonesia dan Indonesia maju,0
2023-05-07T09:26:23Z,Tele Mbeseng,NTT dukung penuh Pak Ganjar,0
2023-05-07T09:21:43Z,Yanteio Channel,Faktanya pak prabowo bkalan the next president,0
2023-05-07T08:58:02Z,Yus Yus,Hidup probowo,0
2023-05-07T08:47:28Z,Eza Rahmat,"Ada yang lebih baik dari anis &amp; prabowo,  Ganjar terbukti 2x terpilih menjadi gubernur jawa tengah tanpa politik identitas dan tanpa kampanye hoax dan udh berhasil mengungguli elaktibilitas puan yang didukung elit partai bahkan untuk jateng dan jatim udah mengalahkan elaktibilitas prabowo puan anis dan airlangga dan nantinya akan menundukkan anis &amp; prabowo di pilpres karena Ganjar memang cerdas dan mampu menjadi pemimpin nasional bismillahhirohman Ganjar menjadi presiden RI 2024amin ya robbal alamin",0
2023-05-07T08:26:57Z,Wawan Karnawan,"Belum tahu pak Anis ya,lihat nanti,waktunya gak bakala ada photo sy di situ.",0
2023-05-07T07:49:18Z,Agus Mulyadi,Mlih  ganjar biar melanjutkan  pembangunan  jokowi  lanjutkan,0
2023-05-07T07:47:42Z,sugi indriyono,Insyaallah Alloh PDI Perjuangan.menang untuk calon Presiden Ganjar Pranowo,0
2023-05-07T07:36:01Z,muhammad fathoni,Pendukung Ganjar = cebong<br>Pendukung anies.  = Kadrun<br>Kira kira nama buat pendukung Prabowo apa ya ???,0
2023-05-07T07:26:52Z,Besama Zalukhu,Pak. Ganjar 👍,0
2023-05-07T07:12:56Z,dadang rifaldi,"survei opo toh, memangnya kalian percoyo survei",0
2023-05-07T05:29:38Z,Uti Mq,InsyaAllah ganjar amanah melanjutkan perjuangan pak jokowi,0
2023-05-07T05:20:57Z,Andi Amiruddin,Sekali Anies tetap Anies survey abal2,0
2023-05-07T05:19:39Z,Bapak supri Oke,Survai pesanan oligargi (bayaran),0
2023-05-07T04:57:38Z,Rivai J S Hutagalung,Bagusnya duet kan aja prabowo ganjar..,0
2023-05-07T04:56:17Z,Gunawan Sulistiantara,Saya sarankan ganjar berpasangan dgn ade armando saya jamin deh 95% menang mutlak 🤣🤣🤣👎👎,0
2023-05-07T04:55:00Z,Gunawan Sulistiantara,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣<br>Lembaga survei hajingan kok dipercaya,0
2023-05-07T04:45:57Z,santa ahmed,Ganjar ❤❤🇮🇩🇮🇩👍,0
2023-05-07T04:38:12Z,Boy Boy,<b>GANJAR PRANOWO PRESIDEN KE 8 NKRI</b> ;^,1
2023-05-07T04:21:13Z,al Kausar,Relawan pak jokowi harus kompak kita menangkan ganjar pranowo pilpres 2024. Kinerja pak jokowi harus diteruskan.,1
2023-05-07T04:04:55Z,姊姊,Ganjar Pranowo gaspol,0
2023-05-07T03:59:26Z,merdeka hero,Survey di jawa tengah.,0
2023-05-07T03:47:19Z,Ade Hidayat,Survey abal2,0
2023-05-07T03:43:46Z,Iskandar Muda,GASSS terusss PK ganjar,0
2023-05-07T03:27:44Z,Djulianto Rochadi,Pilpres Tahap-I: Ganjar &amp; Prabowo lolos putaran pertama. Lanjut Pilpres Tahap-II: Prabowo unggul karena pemilih Anis mayoritas akan pilih Prabowo.,0
2023-05-07T12:38:21Z,Rdn Nids,Dulu pemilih Prabowo blm terpecah aja buktinya kalah.,0
